Id,Time,Lat,Lng,Temperature,Humidity,Pm2.5,Pm10,Pm1,Co2,Co,Hcho,Tvoc
00E04C870000,2018-07-13 11:01:42,25.03,25.03,32.62,60,4,4,3,0,0,0,0
28C2DDDD3FE7,2018-07-13 11:02:06,35.7060,35.7060,27,46,9,10,6,0,0,0,0
28C2DDDD400A,2018-07-13 11:04:19,25.049104,25.049104,31.5,80,0,0,0,0,0,0,0
28C2DDDD40E8,2018-07-13 11:02:29,25.0530,25.0530,30.37,74,3,0,0,0,0,0,0
28C2DDDD4107,2018-07-13 11:02:16,25.008,25.008,30.25,69,53,0,0,0,0,0,0
28C2DDDD4159,2018-07-13 11:00:40,25.041,25.041,36,53,0,0,0,0,0,0,0
28C2DDDD41B2,2018-07-13 11:04:27,25.073294,25.073294,31,69,2,0,0,0,0,0,0
28C2DDDD41C7,2018-07-13 11:02:23,24.058,24.058,31.5,88,46,61,33,0,0,0,0
28C2DDDD41ED,2018-07-13 11:04:13,25.055459,25.055459,30.5,80,1,0,0,0,0,0,0
28C2DDDD4229,2018-07-13 11:03:48,25.115688,25.115688,30.37,100,4,0,0,0,0,0,0
28C2DDDD4233,2018-07-13 11:04:12,25.038642,25.038642,31.37,151,0,0,0,0,0,0,0
28C2DDDD4239,2018-07-13 11:05:42,25.086572,25.086572,30.25,70,2,0,0,0,0,0,0
28C2DDDD423A,2018-07-13 11:33:54,25.026663,25.026663,29.5,47,1,0,0,0,0,0,0
28C2DDDD4246,2018-07-13 11:00:45,25.127112,25.127112,31.12,89,34,45,25,0,0,0,0
28C2DDDD4338,2018-07-13 11:05:07,25.149216,25.149216,29.5,78,18,18,17,0,0,0,0
28C2DDDD4344,2018-07-13 11:05:18,25.086207,25.086207,31.37,90,0,0,0,0,0,0,0
28C2DDDD434A,2018-07-13 11:02:31,25.078776,25.078776,31,83,0,0,0,0,0,0,0
28C2DDDD4354,2018-07-13 11:04:16,24.990270,24.990270,32.62,106,2,0,0,0,0,0,0
28C2DDDD436E,2018-07-13 11:03:04,25.023230,25.023230,31.12,64,0,0,0,0,0,0,0
28C2DDDD4378,2018-07-13 11:02:18,25.056667,25.056667,31.62,66,9,0,0,0,0,0,0
28C2DDDD43FC,2018-07-13 12:12:48,25.031860,25.031860,31.87,146,0,0,0,0,0,0,0
28C2DDDD43FD,2018-07-13 11:04:11,25.053582,25.053582,31,86,0,0,0,0,0,0,0
28C2DDDD4408,2018-07-13 11:05:34,25.059473,25.059473,31,142,1,0,0,0,0,0,0
28C2DDDD44B2,2018-07-13 11:02:51,25.044,25.044,29.75,71,0,0,0,0,0,0,0
28C2DDDD452E,2018-07-13 11:00:14,25.039360,25.039360,30.25,100,1,0,0,0,0,0,0
28C2DDDD4532,2018-07-13 11:04:25,24.6820,24.6820,33.25,85,33,0,0,0,0,0,0
28C2DDDD4559,2018-07-13 11:04:53,25.029467,25.029467,31.5,78,0,0,0,0,0,0,0
28C2DDDD4568,2018-07-13 11:00:41,25.065281,25.065281,30,72,1,0,0,0,0,0,0
28C2DDDD456C,2018-07-13 11:03:47,25.056387,25.056387,31.75,94,1,0,0,0,0,0,0
28C2DDDD4571,2018-07-13 11:03:42,25.004893,25.004893,28.87,142,1,0,0,0,0,0,0
28C2DDDD457C,2018-07-13 11:03:35,25.093299,25.093299,32.5,69,1,0,0,0,0,0,0
28C2DDDD457E,2018-07-13 11:01:40,25.060272,25.060272,31.25,95,12,0,0,0,0,0,0
28C2DDDD4583,2018-07-13 11:02:38,25.0550,25.0550,28,56,0,0,0,0,0,0,0
28C2DDDD458F,2018-07-13 11:05:24,25.054721,25.054721,32.62,140,0,0,0,0,0,0,0
28C2DDDD45AA,2018-07-13 11:02:31,25.126428,25.126428,30.87,85,1,0,0,0,0,0,0
28C2DDDD45E6,2018-07-13 11:05:44,24.1590,24.1590,31.5,67,42,51,30,0,0,0,0
28C2DDDD45E9,2018-07-13 11:03:48,25.058,25.058,30.12,65,0,0,0,0,0,0,0
28C2DDDD4785,2018-07-13 11:04:45,25.034,25.034,31.12,100,1,2,1,0,0,0,0
28C2DDDD47A8,2018-07-13 11:04:16,25.003,25.003,31.25,100,1,1,0,0,0,0,0
28C2DDDD47BB,2018-07-13 11:04:54,25,25,30.12,100,1,1,0,0,0,0,0
28C2DDDD47BC,2018-07-13 11:00:05,24.177,24.177,28.75,100,48,62,35,0,0,0,0
28C2DDDD47C0,2018-07-13 11:04:51,22.61,22.61,26.75,61,4,0,0,0,0,0,0
28C2DDDD47C7,2018-07-13 11:01:06,22.628,22.628,25.75,54,2,2,1,0,0,0,0
28C2DDDD47DB,2018-07-13 11:03:48,25.0020,25.0020,31,100,0,0,0,0,0,0,0
74DA388FF37E,2018-07-13 11:02:52,25.011122,25.011122,31.37,100,0,0,0,0,0,0,0
74DA388FF380,2018-07-13 11:00:50,24.953621,24.953621,31,100,2,0,0,0,0,0,0
74DA388FF386,2018-07-13 11:04:01,25.001842,25.001842,30.75,49,1,0,0,0,0,0,0
74DA388FF38A,2018-07-13 11:01:00,24.990833,24.990833,29.75,100,0,0,0,0,0,0,0
74DA388FF38C,2018-07-13 11:05:31,24.950462,24.950462,28.62,46,9,0,0,0,0,0,0
74DA388FF390,2018-07-13 11:05:26,24.955872,24.955872,31,100,11,0,0,0,0,0,0
74DA388FF3A4,2018-07-13 11:04:09,25.0150,25.0150,28.37,61,0,0,0,0,0,0,0
74DA388FF3AE,2018-07-13 11:01:24,25.0170,25.0170,30.25,100,0,0,0,0,0,0,0
